# DM      Sigma      Time (s)     Sample    Downfact
520.031389   29.508691   515.139584   12576650   64
610.591871   46.217457   517.361746   12630902   32
369.003599   65.195516   519.399834   12680660   16
727.654670   19.776810   521.208996   12724829   64
391.522297   16.426810   523.423826   12778902   128
655.010175   17.492941   525.088850   12819552   64
590.360050   22.641799   527.355904   12874900   128
513.861631   41.346892   529.464812   12926387   64
395.848793   17.599052   531.731210   12981719   64
566.233402   40.397267   533.853348   13033529   32
544.202536   82.573978   535.402414   13071348   16
705.854346   24.158936   537.943613   13133389   32
306.455833   17.683858   540.242616   13189517   128
494.779786   75.428049   542.204191   13237407   32
506.969964   53.960228   543.649751   13272699   32
492.810539   21.369472   545.593508   13320154   64
668.485676   4.169615   547.530220   13367437   16
399.097746   23.570914   549.625324   13418587   64
479.394816   22.750033   552.147681   13480168   128
636.406646   32.411465   554.315244   13533087   32
393.708654   23.072421   556.480307   13585945   64
457.713697   28.679953   558.263706   13629485   64
606.166166   12.030724   560.426844   13682296   128
571.773204   36.840144   562.317804   13728462   32
265.454650   16.402871   564.576010   13783594   64
698.373533   20.435009   566.023127   13818924   64
286.225255   17.156366   568.923791   13889741   64
407.647713   11.800594   570.312622   13923648   128
628.625457   30.326152   572.557558   13978456   64
725.382682   4.499567   574.447698   14024602   8
505.914504   60.106188   576.387031   14071949   32
661.709099   30.611981   578.211226   14116485   64
731.434754   44.352219   580.747878   14178415   32
740.548444   4.572400   582.753362   14227377   4
515.336180   30.013683   584.757780   14276313   32
421.672790   10.763271   587.187610   14335635   64
451.451772   35.368533   589.324452   14387804   64
701.327127   61.151345   590.600888   14418967   64
297.205274   75.521880   593.280778   14484394   8
459.489326   29.531482   595.306988   14533862   64
391.752084   42.280809   597.250662   14581315   32
400.469158   46.736452   599.438868   14634738   32
606.203681   37.035286   600.950047   14671632   128
504.840473   20.643741   603.452744   14732733   64
717.805847   50.063751   605.456916   14781663   64
707.108349   54.053346   607.418819   14829561   32
503.386727   17.563412   609.644708   14883904   64
521.341682   50.948170   611.110994   14919702   64
648.398317   50.226824   613.615493   14980847   32
648.333471   34.132304   615.728865   15032443   64
366.059605   21.211784   617.705718   15080706   64
707.487809   4.368227   618.863165   15108964   16
252.628474   22.366153   621.905797   15183247   64
272.864343   20.507327   623.609487   15224841   64
622.420721   33.761567   625.934868   15281613   32
433.257364   13.759163   627.645030   15323365   64
448.959872   27.834400   629.569905   15370359   32
385.881314   5.520489   631.691919   15422166   16
270.920153   16.471025   634.275348   15485238   64
396.564337   10.881940   636.176548   15531654   128
352.077515   19.215786   638.066934   15577806   64
271.312060   62.986789   640.260465   15631359   16
614.894279   56.820192   642.149007   15677466   64
595.304940   24.496881   643.725722   15715960   64
634.824986   54.770218   646.363955   15780370   16
